task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
find-kth-bit-in-nth-binary-string_python3,repair_fail,1,TAC,local_qwen,local_qwen,429,2048,2477,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> max_context_reached
linked-list-cycle_python3,repair_fail,1,TAC,local_qwen,local_qwen,467,2048,2515,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
minimum-obstacle-removal-to-reach-corner_python3,repair_fail,1,TAC,local_qwen,local_qwen,715,2048,2763,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
create-components-with-same-value_python3,repair_fail,1,TAC,local_qwen,local_qwen,572,2048,2620,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
next-greater-element-i_python3,repair_fail,1,TAC,local_qwen,local_qwen,609,2048,2657,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> max_context_reached
fizz-buzz_python3,repair_fail,1,TAC,local_qwen,local_qwen,330,2048,2378,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
longest-well-performing-interval_python3,repair_fail,1,TAC,local_qwen,local_qwen,366,2048,2414,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
lexicographically-smallest-palindrome_python3,repair_fail,1,TAC,local_qwen,local_qwen,491,2048,2539,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:AttributeError -> max_context_reached
find-peak-element_python3,repair_fail,1,TAC,local_qwen,local_qwen,468,2048,2516,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
distribute-candies_python3,repair_fail,1,TAC,local_qwen,local_qwen,475,2048,2523,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
magic-squares-in-grid_python3,repair_fail,1,TAC,local_qwen,local_qwen,609,2048,2657,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
satisfiability-of-equality-equations_python3,repair_fail,1,TAC,local_qwen,local_qwen,668,2048,2716,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
making-file-names-unique_python3,repair_fail,1,TAC,local_qwen,local_qwen,742,2048,2790,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
